benchmark_name,cell_index,try_number,category,elapsed_seconds
student-performance-in-exams,9,1,rewrite_execution,17.735881
student-performance-in-exams,9,1,cudf_profiling,13.034544
student-performance-in-exams,9,1,total,65.897431
student-performance-in-exams,9,2,agent_call,12.180318
student-performance-in-exams,9,2,rewrite_execution,17.819784
student-performance-in-exams,9,2,cudf_profiling,13.032926
student-performance-in-exams,9,2,total,58.100643
student-performance-in-exams,9,3,agent_call,13.637862
student-performance-in-exams,9,3,rewrite_execution,17.791191
student-performance-in-exams,9,3,cudf_profiling,13.032631
student-performance-in-exams,9,3,total,59.527132
student-performance-in-exams,9,4,agent_call,1.204144
student-performance-in-exams,10,,original_execution,27.046333
student-performance-in-exams,10,0,agent_call,18.938935
student-performance-in-exams,10,0,rewrite_execution,19.038240
student-performance-in-exams,10,0,cudf_profiling,13.029664
student-performance-in-exams,10,0,total,64.871380
student-performance-in-exams,10,1,agent_call,29.172878
student-performance-in-exams,10,1,total,44.230759
student-performance-in-exams,10,2,agent_call,20.677310
student-performance-in-exams,10,2,rewrite_execution,20.034804
student-performance-in-exams,10,2,cudf_profiling,12.349263
student-performance-in-exams,10,2,total,64.944949
student-performance-in-exams,10,3,agent_call,1.130644
