df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
num_reviews,681.0,51.03511203054,1830.0,181.55427066844322
course_rating_int,664.0,75.65899259912,1820.0,174.496669454396
course_num,1260.0,379.2924558023,2820.0,956.56563202476
course_code,1140.0,393.26333646074005,2790.0,1248.31088141076
num_ratings,663.0,51.03511203054,1830.0,181.55427066844322
useful,662.0,51.03511203054,1710.0,181.55427066844322
easy,679.0,51.03511203054,1880.0,181.55427066844322
liked,657.0,51.03511203054,1950.0,181.55427066844322
num_reviews,657.0,51.03511203054,1850.0,181.55427066844322
course_rating_int,678.0,75.65899259912,1850.0,174.496669454396
course_num,1250.0,379.2924558023,2830.0,956.56563202476
num_reviews,659.0,51.03511203054,1740.0,181.55427066844322
easy,660.0,51.03511203054,1850.0,181.55427066844322
num_ratings,658.0,51.03511203054,1790.0,181.55427066844322
useful,652.0,51.03511203054,1850.0,181.55427066844322
liked,660.0,51.03511203054,1860.0,181.55427066844322
course_rating_int,661.0,75.65899259912,1780.0,174.496669454396
num_ratings,2.4,1.2136070449056,5.58,3.4927949545215
useful,3.05,1.2136070449056,37.4,3.4927949545215
easy,2.89,1.2136070449056,5.28,3.4927949545215
liked,2.71,1.2136070449056,6.03,3.4927949545215
num_reviews,2.65,1.2136070449056,8.39,3.4927949545215
course_rating_int,2.72,1.2136070449056,9.12,3.4927949545215
num_ratings,1.64,1.2136070449056,6.49,3.4927949545215
useful,3.18,1.2136070449056,5.92,3.4927949545215
easy,2.86,1.2136070449056,5.66,3.4927949545215
liked,2.68,1.2136070449056,6.46,3.4927949545215
num_reviews,2.83,1.2136070449056,5.61,3.4927949545215
course_rating_int,2.72,1.2136070449056,5.36,3.4927949545215
num_reviews,660.0,51.03511203054,1710.0,181.55427066844322
easy,661.0,51.03511203054,1720.0,181.55427066844322
num_ratings,659.0,51.03511203054,1850.0,181.55427066844322
useful,668.0,51.03511203054,1930.0,181.55427066844322
liked,657.0,51.03511203054,1800.0,181.55427066844322
course_rating_int,660.0,75.65899259912,1820.0,174.496669454396
course_num,1250.0,379.2924558023,2860.0,956.56563202476
course_code,1090.0,393.26333646074005,2820.0,1248.31088141076
course_rating_int,1.84,1.2136070449056,5.56,3.4927949545215
course_rating_mean,897.0,351.51114912246084,2750.0,1909.17769013676
course_code,1100.0,428.3796535167608,2770.0,1248.31088141076
num_ratings,657.0,59.277854692292806,1840.0,181.55427066844322
useful,657.0,59.277854692292806,1920.0,181.55427066844322
easy,654.0,59.277854692292806,1780.0,181.55427066844322
liked,655.0,59.277854692292806,1840.0,181.55427066844322
num_reviews,656.0,59.277854692292806,1850.0,181.55427066844322
course_rating_int,663.0,87.8273066942784,1780.0,174.496669454396
course_num,1260.0,414.40877285832084,2910.0,956.56563202476
course_rating_mean,910.0,351.51114912246084,2990.0,1909.17769013676
num_reviews,6.64,6.4989650937824,52.2,95.185614844
easy,6.46,6.4989650937824,54.2,95.185614844
num_ratings,6.35,6.4989650937824,126.0,95.185614844
useful,6.36,6.4989650937824,53.1,95.185614844
liked,6.39,6.4989650937824,52.1,95.185614844
course_rating_int,9.51,9.9126934905472,52.0,92.02958857
course_num,379.0,189.55640307538638,893.0,468.19183042388
course_rating_mean,100.0,126.65877933952639,983.0,1420.8038885358799
course_code,226.0,203.52728373382638,905.0,759.9370798098801
course_unit,381.0,190.8483185659664,906.0,495.17010160088
course_unit,388.0,190.8483185659664,905.0,495.17010160088
course_code,241.0,203.52728373382638,977.0,759.9370798098801
num_ratings,6.31,6.4989650937824,52.9,95.185614844
useful,6.29,6.4989650937824,53.5,95.185614844
easy,6.22,6.4989650937824,51.8,95.185614844
liked,6.25,6.4989650937824,67.2,95.185614844
num_reviews,6.15,6.4989650937824,52.3,95.185614844
course_rating_int,9.61,9.9126934905472,51.6,92.02958857
course_num,380.0,189.55640307538638,892.0,468.19183042388
course_rating_mean,100.0,126.65877933952639,1010.0,1420.8038885358799
num_reviews,5.87,6.4989650937824,50.9,95.185614844
easy,5.87,6.4989650937824,52.3,95.185614844
course_unit,377.0,190.8483185659664,891.0,495.17010160088
num_ratings,6.27,6.4989650937824,52.4,95.185614844
useful,6.08,6.4989650937824,52.3,95.185614844
liked,6.18,6.4989650937824,73.2,95.185614844
course_rating_int,9.73,9.9126934905472,51.8,92.02958857
course_unit,374.0,190.8483185659664,898.0,495.17010160088
course_code,219.0,203.52728373382638,902.0,759.9370798098801
course_unit,375.0,190.8483185659664,888.0,495.17010160088
course_code,216.0,203.52728373382638,932.0,759.9370798098801
